synset_id,lang,goodness,lemma
00020827-n,B,O,bahan
00020827-n,B,Y,inti
00020827-n,B,Y,zat
00020926-v,B,O,kerasukan
00020926-v,I,O,terpesona
00021065-v,B,O,memadamkan
00021065-v,B,O,mematikan
00021065-v,B,O,membius
00021065-v,B,O,menidurkan
00021065-v,I,O,memproduksi
00021212-r,B,O,berkala-kala
00021212-r,B,O,kadang-kadang
00021212-r,B,O,sekali-sekali
00021212-r,B,O,sesekali
00021265-n,B,O,santapan
00021265-n,B,Y,gizi
00021265-n,B,Y,makan
00021265-n,B,Y,makanan
00021265-n,B,Y,pangan
00021265-n,I,O,nutrisi
00021679-v,I,O,terbius
00021734-n,I,O,nutrisi
00021766-a,B,O,benar
00021766-a,B,O,saksama
00021766-a,B,Y,jitu
00021766-a,B,Y,ketepatan
00021766-a,B,Y,tepat
00021766-a,I,O,akurat
00021766-a,I,O,eksak
00021878-r,B,O,kadang-kadang
00021878-r,B,O,sekali-sekali
00021878-r,B,O,sesekali
00021878-r,B,Y,terkadang
00021878-r,I,O,adakalanya
00021939-n,B,O,perkakas
00021939-n,B,O,tinggalan
00021939-n,B,Y,artifak
00021939-n,I,O,artefak
00022099-v,B,O,memulangkan
00022131-r,B,O,kayak
00022131-r,B,O,sama
00022131-r,B,O,sama-sama
00022131-r,B,O,sebagai
00022131-r,B,O,sebegitu
00022131-r,B,O,selaku
00022131-r,B,O,seperti
00022219-a,B,O,mirip
00022219-a,B,O,tepat
00022316-v,B,O,mengheningkan
00022316-v,B,O,mengurangkan
00022316-v,B,O,meredakan
00022686-v,B,O,membangkitkan
00022686-v,B,O,membangunkan
00022686-v,B,O,memperkukuh
00022686-v,B,O,mencambuk
00022686-v,B,O,menggugah
00022686-v,B,O,mengukuhkan
00022686-v,B,O,menimbulkan
00022686-v,B,O,merangsang
00022686-v,I,O,menggairahkan
00022686-v,I,O,merangsangkan
00022829-r,B,O,benar-benar
00022829-r,B,O,jauh
00022829-r,B,O,kerap
00022829-r,B,O,praktik
00022829-r,B,O,sekali
00022829-r,B,O,selalu
00022829-r,B,O,sering
00022903-n,B,O,artikel
00022903-n,B,O,makalah
00022962-a,B,O,tepat
00023271-n,B,O,kognisi
00023271-n,B,O,pengetahuan
00023271-n,B,Y,ilmu
00023271-n,B,Y,kognisi
00023271-n,B,Y,makrifat
00023271-n,B,Y,mualamat
00023473-v,B,O,mengarik
00023646-v,B,Y,pitam
00023646-v,I,O,pingsan
00023773-n,B,O,maksud
00023773-n,B,O,tujuan
00023773-n,B,Y,dorongan
00023773-n,B,Y,keperluan
00023773-n,B,Y,motif
00023773-n,B,Y,motivasi
00023773-n,B,Y,niat
00023773-n,B,Y,rangsangan
00023854-a,B,O,cacat
00023854-a,B,O,salah
00023854-a,B,O,silap
00024047-v,B,O,bangun
00024047-v,B,O,bertambah
00024047-v,B,O,kembali
00024047-v,B,O,naik
00024047-v,I,O,tersadar
00024073-r,B,O,belum
00024073-r,B,O,bukan
00024073-r,B,O,tiada
00024073-r,B,O,tidak
00024073-r,B,Y,tak
00024264-n,B,O,atribut
00024264-n,B,O,sifat
00024279-v,B,O,membangatkan
00024279-v,B,O,membetulkan
00024279-v,B,O,membubul
00024279-v,B,O,menggerakkan
00024279-v,B,O,menghayati
00024279-v,B,O,menghidupkan
00024279-v,B,O,merangsang
00024279-v,B,O,mereparasi
00024279-v,B,O,merombak
00024279-v,I,O,membarui
00024279-v,I,O,memperbarui
00024356-r,B,O,belum
00024509-r,B,O,lagi
00024509-r,B,O,segala
00024509-r,B,Y,sebarang
00024587-r,B,O,bukan
00024587-r,B,O,tidak
00024649-v,B,O,menyegani
00024649-v,B,O,menyegarkan
00024720-n,B,O,keadaan
00024720-n,B,O,menyatakan
00024720-n,B,O,negara
00024814-v,B,O,menyegarkan
00024996-a,B,O,asing
00024996-a,B,Y,baharu
00024996-a,B,Y,baru
00025144-r,B,O,berdarah
00025144-r,B,O,betul
00025144-r,B,O,dahsyat
00025203-v,B,O,menegangkan
00025203-v,B,O,menyaring
00025203-v,B,Y,menegang
00025203-v,B,Y,meregangkan
00025203-v,B,Y,regang
00025203-v,B,Y,tegang
00025290-r,B,O,tempat
00025470-a,B,O,asid
00025654-v,B,O,beristirahat
00025654-v,B,O,berkurang
00025654-v,B,O,bersantai
00025654-v,B,O,mengendur
00025654-v,B,O,mengendurkan
00025654-v,B,O,mengistirahatkan
00025654-v,I,O,berhura-hura
00025654-v,I,O,berleha-leha
00025728-a,B,O,alkali
00025728-a,I,O,alkalis
00025728-r,B,O,sebilang
00026153-v,B,O,terik
00026168-a,B,O,asas
00026192-n,B,O,cita
00026192-n,B,O,perasaan
00026192-n,I,O,merasa
00026385-v,B,O,mengendur
00026385-v,B,O,mengendurkan
00026385-v,B,Y,berenak-enak
00026385-v,B,Y,beristirahat
00026385-v,B,Y,bersantai
00026385-v,I,O,berhura-hura
00026385-v,I,O,berleha-leha
00026385-v,I,O,rileks
00026734-v,I,O,leyeh-leyeh
00027074-a,I,O,alkalis
00027167-n,B,O,kedudukan
00027167-n,B,O,tempat
00027167-n,B,Y,lokasi
00027167-n,B,Y,tempat
00027268-v,B,O,berlanjutan
00027268-v,B,O,meluas
00027268-v,B,O,melunjurkan
