post_id,created_at,username,text,parent_comment_id
DPIGmZnExJk,2025-09-30 06:17:09 WIB,yusyusb0b,"['sudah', 'nyala', 'kah', 'airnya', '?', 'smpe', 'pulkam', 'saya', 'krena', 'gabisa', 'g', 'ada', 'air']",
DPIGmZnExJk,2025-09-30 06:23:23 WIB,anawidyaningsih46,"['yaa', 'makasih', 'min', 'updatenya']",
DPIGmZnExJk,2025-09-30 06:38:58 WIB,anawidyaningsih46,"['ngalir', 'min', 'meskipun', 'kecil', 'debitnya', 'mungkin', 'krn', 'pemakai', 'nyalakan', 'air', 'semua', 'yaa', 'jd', 'ngefek', 'ke', 'debit', 'air']",
DPIGmZnExJk,2025-09-30 07:30:51 WIB,rosidah_ummah,"['baik', 'bapak', 'terima', 'kasih']",
DPIGmZnExJk,2025-09-30 07:41:33 WIB,yusyusb0b,"['pakal', 'madya', 'kak']",
DPIGmZnExJk,2025-09-30 09:41:16 WIB,anawidyaningsih46,"['baik', 'trimakasih', 'banyak', 'min']",
DPIGmZnExJk,2025-09-30 10:20:25 WIB,ullywulan_d,"['setelah', 'perbaikan', 'pipa', 'kemarin', 'kok', 'air', 'dirumah', 'saya', 'rejosari', 'gang', 'jeruk', 'jadi', 'kecil', 'banget', 'ya', 'pak', '?', 'gak', 'seperti', 'sebelumnya', 'skrg', 'airnya', 'jadi', 'kecil', 'jadi', 'gak', 'sampe', 'kedapur', 'pak', 'airnya']",
DPIGmZnExJk,2025-09-30 10:21:25 WIB,ullywulan_d,"['setelah', 'perbaikan', 'pipa', 'kemarin', 'kok', 'air', 'dirumah', 'saya', 'gang', 'jeruk', 'jadi', 'kecil', 'banget', 'ya', 'pak', '?', 'gak', 'seperti', 'sebelumnya', 'skrg', 'airnya', 'jadi', 'kecil', 'jadi', 'gak', 'sampe', 'kedapur', 'pak', 'airnya']",
DPIGmZnExJk,2025-09-30 16:40:44 WIB,aaaudiye_lyv,"['ya', 'allah', 'min', 'kpan', 'iki', 'nyalanya', 'anggota', 'klga', 'banyak', 'anak', 'kecil', 'bnyak', 'air', 'gak', 'nyala', ""''"", 'beli', 'air', 'galon', 'trus', 'mati', 'sampek', '<num>', 'hari', 'rek', 'tiap', 'mari', 'bayar', 'tagihan', 'kok', 'ginii', 'ya']",
DPIGmZnExJk,2025-09-30 16:52:18 WIB,aaaudiye_lyv,"['sama', 'kk', 'aq', 'tiap', 'bulannya', 'kena', '<num>', 'kdang', 'lbih', 'gak', 'ada', 'tandon', 'nanti', 'pda', 'jam', 'tertentu', 'mati', 'pagi', 'wktue', 'shubuh', 'sampai', 'jm', '<num>', 'mati', 'sore', 'nya', 'mati', 'lagi', 'jam', 'stgah', '<num>', 'sampek', 'isyak', 'apa', ""''"", 'pkerjaan', 'hrs', 'nunggu', 'air', 'pdahal', 'byar', 'gak', 'pernah', 'telat', 'bayar', 'sgitu', ""''"", 'trus', 'tp', 'air', 'sering', 'mati']",
