username,text
reika.id,"['ini', 'kok', 'tagihan', 'saya', 'naik', 'terus', 'ya', 'penggunaan', 'normal', 'max', '85rb', 'bulan', 'lalu', 'membengkak', 'jadi', '300rb', 'sekian', 'karna', 'ada', 'kerusakan', 'di', 'pelampung', 'tandon', 'tapi', 'sudah', 'dibetulkan', 'dari', 'bulan', 'lalu', 'sekarang', 'kok', 'tagihannya', 'malah', 'jadi', '500rb']"
mohcatur,"['kalilom', 'lor', 'timur', 'gang', '6', 'air', '2', 'hari', 'gak', 'masuk', 'duh', 'susah']"
mohcatur,"['pdam', 'tdk', 'keluar', 'kalilom', 'lor', 'timur', 'gang', '6', 'aduh', 'susah', 'udah', 'komplain', 'tapi', 'lama', 'aduh']"
rahmawati__r,"['tadi', 'barusan', 'ada', 'entah', 'oknum', 'atau', 'pegawai', 'pdam', 'datang', 'tapi', 'tidak', 'sesuai', 'sop', 'tolong', 'untuk', 'wilayah', 'kebraon', 'dipantau', 'lagi', 'dan', 'disesuaikan', 'dengan', 'sop', 'yang', 'sudah', 'dibuat', 'oleh', 'pdam', 'sendiri', 'saya', 'ada', 'videonya', 'jadi', 'saya', 'ada', 'bukti', 'bilang', 'begitu', 'mohon', 'di', 'perketat', 'lagi', 'untuk', 'petugas', 'lapangan', 'supaya', 'kita', 'sebagai', 'konsumen', 'juga', 'yakin', 'bahwa', 'itu', 'dari', 'pdam', 'pusat']"
kang_min_pcn,"['halo', 'kenapa', 'hot', 'line', '0800', 'tidak', 'bisa', 'dihubungi', 'sudah', 'saya', 'coba', 'tiap', 'hari', 'beberapa', 'kali', 'semingguan', 'ini', 'menu', '1', 'sibuk', 'terus', 'mau', 'konfirmasi', 'sudah', 'disurvey', 'tapi', 'tidak', 'ada', 'kelanjutan']"
elok_praptiningsih,"['iya', 'kenapa', 'banget', 'gini', 'selalu', 'beeberapa', 'bulan', 'pasti', 'ada', 'kejutan', 'tiba2', 'tagihan', 'jadi', 'berlipat', 'lipat', 'kenanya']"
papowbaby,"['penangganan', 'nya', 'lama', 'sekali', 'di', 'wa', 'tidak', 'ada', 'kelanjutan', 'di', 'dm', 'juga', 'lama', 'skali']"
rrosedee,"['halo', 'pdam', 'daerah', 'simomulyo', 'baru', 'mati', 'aliran', 'airnya', 'kok', 'ndak', 'ada', 'pemberitahuan', 'ya']"
rrosedee,"['dari', 'sabtu', 'malam', 'sampai', 'skr', 'minggu', 'tgl', '25', 'mei', 'masih', 'belum', 'nyala']"
rrosedee,"['sdh', 'laporan', 'hotline', 'blm', 'ada', 'petugas', 'yg', 'datang', 'tolong', 'responnya']"
fatimah_imey93,"['saya', 'juga', 'min', 'untuk', 'pemasangan', 'baru', 'survei', 'sdah', 'lewat', '1', 'minggu', 'levih', 'tpi', 'belum', 'ada', 'kelanjutan', 'bisa', 'apa', 'ga', 'bisanya']"
yuliarahmayr,"['ini', 'gimana', 'min', 'wonosari', 'bulak', 'banteng', 'dan', 'sekitarnya', 'airnya', 'mati', 'haduhhh', 'haduhhh']"
