post_id,comment_id,created_at,username,text,parent_comment_id
DQTMF6XE7Cl,17885073327392015,2025-10-28 05:52:20 WIB,lindapriskilar,iya kaknyala tengah malam tp cuma di bawah ajangga sampai naik ke lantai 2kebetulan rumahku 2 lantai kaktempat kakak jg blm keluar ya?,
DQTMF6XE7Cl,18110749267597316,2025-10-28 06:02:33 WIB,ollaaqmryh,aku ga nyala samsek yaaallaah kakak medayu mana?,
DQTMF6XE7Cl,18343579852206896,2025-10-28 08:50:30 WIB,lindapriskilar,gang 30 kakbelakang sndirikebagian airnya belakangan wkwkwk,
DQTMF6XE7Cl,18028878647534652,2025-10-28 10:04:31 WIB,ollaaqmryh,masih mati ya kak?,
DQTMF6XE7Cl,18010630835802244,2025-10-28 11:34:08 WIB,lindapriskilar,barusan keluar dikit2 kak tp mati lagi,
DQTMF6XE7Cl,18079239392013881,2025-10-28 15:46:47 WIB,lindapriskilar,semoga cpt selesai ya min,
DQTMF6XE7Cl,18086789101745719,2025-10-28 20:42:04 WIB,shiro.lenny,sudah kalo sudah ditanggapin ga mgkin sampai komen ke instagram makasih,
DQTMF6XE7Cl,18047212448392517,2025-10-29 12:09:18 WIB,shiro.lenny,sudah pak kemarin tengah malam pak jam 0030 terima kaish,
DQS9mzaEw-b,18056538404285781,2025-10-27 10:02:41 WIB,mhmdrizkyy12._,baru tau sejarah hari listrik terimakasih penjelasanya pdam,
DQWUoiYkzuI,18087953227746125,2025-10-29 14:59:04 WIB,mrarie,sampai saat ini jam 1455 masih belum menyala jg,
DQWUoiYkzuI,18047398238389863,2025-10-29 17:54:54 WIB,rewi.18,semoga malam ini mengalir lagi airnya,
DQWUoiYkzuI,17877218940329415,2025-10-29 18:20:50 WIB,puputdeka_17,bangil belum min masih metong,
DQWUoiYkzuI,17901236970297122,2025-10-29 19:42:47 WIB,diannur7,sudah jam segini belum nyala pak,
DQWUoiYkzuI,17949209007047375,2025-10-29 20:28:19 WIB,diannur7,barusan nyala pak aliran masih kecil tidak apa apa yg pntg nyala terima kasih pak semoga tim perbaikan pipa sehat sll dan di beri keselamatan,
DQWiWq1k_n3,17983861988864150,2025-10-29 18:07:14 WIB,anggachristianhananta,pelayanan prima wujud kerja nyata,
DQYeUX4k85g,17944979430061961,2025-10-29 13:37:19 WIB,budiwiratmo,kak min lapor warga gayungsari barat banyak yg mengeluh air pdam matikecil sepertinya ada pipa yg rusak akibat galian box culvert di perempatan traffic light gayungsari barat dalam 2 hari ini makasih min,
DQYeUX4k85g,17844090240599844,2025-10-29 14:50:06 WIB,damaxrif,sehat selalu bapak dan ibu petugas pam surya sembada semoga di lancarkan slalu pekerjaannya,
DQYeUX4k85g,17872879377364631,2025-10-29 16:56:52 WIB,budiwiratmo,kak min kata pihak kontraktor galian box culvert benar ada pipa rusak di perempatan traffic light jl gayungsari barat mohon dibantu warga sudah banyak yg mengeluh kak min,
DQYeUX4k85g,17898433587317384,2025-10-29 18:05:05 WIB,anggachristianhananta,pejuang air petugas pam surya sembada kota surabaya kalian benar2 luar biasa,
DQYeUX4k85g,17935726437093405,2025-10-29 18:41:57 WIB,budiwiratmo,siap matur nuwun sanget atas respon dan bantuan kak min  tim perbaikanterkait,
DQYeUX4k85g,18089295844820062,2025-10-29 19:14:12 WIB,arsitadesi,min air di gayungan ada masalah kah ? kok kecil ya,
DQYeUX4k85g,18077869847124904,2025-10-30 20:26:58 WIB,budiwiratmo,sepertinya hari ini sudah tidak ada warga yg mengeluh air pdam-nya mati berarti kerusakan telah tertangani terima kasih banyak,
DQYeUX4k85g,18093258154849069,2025-10-30 20:41:12 WIB,akmalreyhnth,gercep,
DQYeUX4k85g,18513956917069508,2025-10-31 16:48:41 WIB,budiwiratmo,terima kasih banyak atas respon  bantuan cepat dari,
DQGDe55kxu-,17873585526434951,2025-10-22 16:51:20 WIB,katonsetyawan,apa kebraon ada masalah? kok air tidak keluar sama sekali biasanya jam 1700an air masih keluar walaupun sangat kecil,
DQLWM3Sk4tz,18541313479054572,2025-10-24 21:54:28 WIB,frans_jeremyoriental12,apakah daerah rungkut mapan kena dampaknya kah?,
DQLWM3Sk4tz,17928731238131195,2025-10-24 21:54:55 WIB,frans_jeremyoriental12,mohon fast responnya,
DQLWM3Sk4tz,18190412611334804,2025-10-25 17:27:26 WIB,nurissfarra,kak bulak rukem timur gak keluar airnya,
DQLWM3Sk4tz,18032521214729731,2025-10-31 11:14:15 WIB,bayuhadileksana,terimakasih pdam,
DQJNTI4k5PD,18099848635661761,2025-10-23 17:48:59 WIB,lovia_shop,bulak rukem timur kena ga min?,
DQJNTI4k5PD,17951274437898889,2025-10-23 19:05:28 WIB,sariwkartika,waduh,
DQJNTI4k5PD,18032002814518818,2025-10-23 20:57:53 WIB,deviepuspitasari92,good lebih awal ngabarin biar orng2 prepare jgn ky yg sebelumnya,
DQJNTI4k5PD,18116885392477166,2025-10-24 16:22:07 WIB,a.adiprima,dukuh setro gading dan lebak berdampak njih pak,
DQJNTI4k5PD,18081000821023814,2025-10-24 17:58:02 WIB,_cindiari,tambak rejo ga kena ya min?,
DQJNTI4k5PD,18062721818147428,2025-10-24 18:22:46 WIB,arjunkhan1982,semampir aws 4 kecamatan sukolilo apa jga kena dampaknya mengingat bersebelahan sama kedung baruk hanya di batasi kali brantas,
DQJNTI4k5PD,18082762603972691,2025-10-24 20:23:20 WIB,ridho_fikri1999,bulak kenjeran terdampak nggk min,
DQJNTI4k5PD,18083755499047237,2025-10-24 20:29:43 WIB,yudaferrymahendra,mene onok seng gak duwe banyu,
DQJNTI4k5PD,18111285220567880,2025-10-24 20:38:36 WIB,yesinovita,masih ada rumah sapphire kan yak ?,
DQJNTI4k5PD,17933950655979362,2025-10-24 20:53:19 WIB,virmameisaroh,rumah sapphire kykny gak ada org coba ke benowo deh me,
DQJNTI4k5PD,18008273567643650,2025-10-24 20:59:16 WIB,yesinovita,siangnya ke benowo mlmnya ke sapphire biar adil,
DQJNTI4k5PD,17899914801163078,2025-10-25 06:46:58 WIB,angelita_permata_lai_boeng,bulak banteng kira kira terdampak juga ndak ya?,
DQJNTI4k5PD,18297878044250848,2025-10-25 08:35:19 WIB,milaarsita3,kalikepiting apa berdampak min?,
DQJNTI4k5PD,18080747195042230,2025-10-25 09:50:21 WIB,iis_chiedoel,dalam sebulan iki wes 2x gangguan daerah tambak wedi,
DQJNTI4k5PD,18072636398248245,2025-10-25 10:20:50 WIB,choky_pokoke_mancing,tapi tiap jam 1700-2100 mati airnya sudah berbulan-bulan ini,
DQJNTI4k5PD,18119367652519223,2025-10-25 11:33:31 WIB,diniumar17,mantapp baru ngerti saiki,
DQJNTI4k5PD,17858284158537728,2025-10-25 14:15:02 WIB,auliaachmad_afi,tambak wedi sampe jam piro min iki sek mati banyune,
DQJNTI4k5PD,18046139330672896,2025-10-25 16:24:32 WIB,nurissfarra,pak bulak rukem mati timur airnya gak keluar,
DQJNTI4k5PD,17945442285056965,2025-10-25 16:47:57 WIB,arjunkhan1982,ok mksih infonya  pak,
DQGVfPcDqP7,18120255157525636,2025-10-22 16:14:37 WIB,bitsab34,suka banget matiin air ga diinfokebraon lagi kebraon lagi hadeuh,
DQGVfPcDqP7,18080783024065712,2025-10-22 16:16:17 WIB,ella_nurlailiyah,kyk td ada bongkaran di madina luhur bu,
DQGVfPcDqP7,18071164436605837,2025-10-22 16:21:37 WIB,bitsab34,ya minimal mah diinfo lah buinimah engga,
DQJQbH4E2GE,17974957766939116,2025-10-23 16:25:52 WIB,ikayuniasih,ini hari ini daerah simo gunung dr siang kok mati airnyaaa,
DQJQbH4E2GE,18110308408519244,2025-10-24 07:25:48 WIB,nandaayu_am,kok hari2 mati terus kasihan yg usaha laundry kalo air sering mati,
DQLEvfGE2xc,18051521189326961,2025-10-24 08:15:35 WIB,mhmdrizkyy12._,selamat hari dokter,
DQLEvfGE2xc,18092606179875213,2025-10-24 08:21:49 WIB,_frscarts,selamat hari dokter nasional,
DQSogplE0iS,18053381717648304,2025-10-27 08:10:41 WIB,aaffuuck,yang lidah kulon kapan kira-kira estimasi pekerjaan nya min?,
